date,segment_count,unclassified_photon_count,ground_photon_count,canopy_photon_count,top_of_canopy_photon_count,noise_photon_count
2020-05-11,152,12171,18941,12193,2057,1129
2020-09-22,318,1890,17304,11143,2944,319
2020-11-09,8,52,2,39,2,11
2020-12-08,28,247,312,483,163,597
