date,segment_count,unclassified_photon_count,ground_photon_count,canopy_photon_count,top_of_canopy_photon_count,noise_photon_count
2022-05-22,251,3405,32646,1230,569,40
2022-07-17,2574,19493,27890,118053,24033,31651
2022-08-15,3009,29264,85280,211680,42384,824
2022-08-21,881,3005,42231,20915,4287,124
2022-11-14,2578,42357,155563,219299,38150,275
