date,segment_count,unclassified_photon_count,ground_photon_count,canopy_photon_count,top_of_canopy_photon_count,noise_photon_count,total_photon_count,other_photons
2021-08-16,177,0.0,6045,117,90,0.0,6252,0
2021-08-23,1121,2170,21508,6031,527,0.0,30236,2170
