date,segment_count,unclassified_photon_count,ground_photon_count,canopy_photon_count,top_of_canopy_photon_count,noise_photon_count,total_photon_count,other_photons
2022-05-22,121,0.0,3403,0.0,0.0,0.0,3403,0
2022-07-17,445,612,8424,2362,248,0.0,11646,612
2022-08-15,567,755,11858,4150,432,0.0,17195,755
2022-08-21,188,0.0,5838,242,5,0.0,6085,0
2022-11-14,838,1940,16136,3764,258,0.0,22098,1940
