date,segment_count,unclassified_photon_count,ground_photon_count,canopy_photon_count,top_of_canopy_photon_count,noise_photon_count,total_photon_count,other_photons
2020-01-05,5598,0.0,375051,24896,9819,0.0,409766,0
2020-05-03,3684,0.0,199688,501,326,0.0,200515,0
2020-05-13,1552,0.0,35344,2094,1631,0.0,39069,0
2020-07-04,1109,0.0,64244,218,54,0.0,64516,0
2020-08-02,111,0.0,2529,0.0,0.0,0.0,2529,0
2020-08-12,313,0.0,8715,595,379,0.0,9689,0
2020-11-01,128,0.0,2501,29,45,0.0,2575,0
2020-11-11,5966,0.0,381758,9358,7419,0.0,398535,0
