date,segment_count,unclassified_photon_count,ground_photon_count,canopy_photon_count,top_of_canopy_photon_count,noise_photon_count,total_photon_count,other_photons
2023-01-27,5862,0.0,634602,15263,7854,0.0,657719,0
2023-02-06,5747,0.0,437537,14294,10314,0.0,462145,0
2023-04-28,2898,0.0,186620,565,235,0.0,187420,0
2023-05-08,3951,0.0,141343,4045,2185,0.0,147573,0
2023-07-28,1794,0.0,29680,667,252,0.0,30599,0
2023-08-07,2213,0.0,76221,1343,703,0.0,78267,0
2023-10-27,5996,0.0,577883,9332,9934,0.0,597149,0
