date,segment_count,unclassified_photon_count,ground_photon_count,canopy_photon_count,top_of_canopy_photon_count,noise_photon_count
2023-01-27,300,16926,133499,17066,2894,0.0
2023-02-06,323,9476,63226,5808,1574,0.0
2023-04-28,127,2144,23033,278,51,0.0
2023-05-08,327,4048,28051,12156,2915,0.0
2023-07-28,133,125,4851,1311,50,0.0
2023-08-07,90,662,7993,1840,367,246
2023-10-27,162,11435,79642,6286,1210,0.0
