date,segment_count,unclassified_photon_count,ground_photon_count,canopy_photon_count,top_of_canopy_photon_count,noise_photon_count,total_photon_count,other_photons
2019-05-06,643,0.0,19613,57,1,0.0,19671,0
2019-05-16,1659,0.0,58948,1302,442,0.0,60692,0
2019-09-12,2195,0.0,65614,840,1052,0.0,67506,0
2019-11-13,1341,0.0,62278,695,555,0.0,63528,0
