extent_id,landcover_mode,lat_start,lon_start,lat_end,lon_end
6106882355287294160,111.0,65.14352308366377,-147.53053371771963,65.14263405246481,-147.53077014054858
6106882354213552372,111.0,65.13548436764025,-147.46307602778177,65.13459494410883,-147.46329782155186
6106882355287294036,111.0,65.17117958528881,-147.52324385541374,65.17029389128847,-147.52347358887076
6106882355287294169,111.0,65.14165163748987,-147.53307978822758,65.14077479584459,-147.53331073690973
6106882355287293964,116.0,65.18724316320366,-147.51903043999047,65.18635503960391,-147.51925732898138
6106882355287294020,111.0,65.17474961547954,-147.52229626963836,65.17386008017579,-147.52252567778098
6106882354213552433,116.0,65.12200912787227,-147.46849831805272,65.1211218509153,-147.46873747558246
6106882355287293968,116.0,65.1863488104694,-147.51925909908928,65.1854601312916,-147.51948540798696
6106882354213552432,116.0,65.1221012456721,-147.46665938118886,65.1212163236006,-147.46691086045078
6106882355287294096,116.0,65.15779687574648,-147.52675575865695,65.1569134227496,-147.52698662510818
6106882355287294096,116.0,65.15779687574648,-147.52675575865695,65.1569134227496,-147.52698662510818
6106882354213552348,111.0,65.14083547606522,-147.46163805123797,65.1399488646123,-147.46188045975197
6106882354213552160,111.0,65.1827656845096,-147.45050278695393,65.18187858991546,-147.45073948524774
6106882355287293980,116.0,65.18367099779923,-147.5199589313466,65.18278628533004,-147.52019528199813
6106882354213552300,116.0,65.15154118461366,-147.4588310336667,65.15065584571283,-147.4590732926087
6106882354213552312,126.0,65.14886292569552,-147.45952980094222,65.14797691602872,-147.45975888706405
6106882355287294177,111.0,65.13986161626214,-147.53355152208263,65.13899022602413,-147.53378596546534
6106882354213552440,116.0,65.12031775182326,-147.46715816633653,65.11943199957976,-147.4673965772549
6106882354213552424,116.0,65.12388430177897,-147.46618245967719,65.12300039033964,-147.4664142074996
6106882355287294124,111.0,65.1515511297918,-147.52839878427292,65.1506675013627,-147.52863781191456
6106882354213552441,116.0,65.12022052285774,-147.4689835777836,65.1193356065705,-147.4692248539907
6106882355287294128,111.0,65.15066116437522,-147.5286395357704,65.14977508061831,-147.52887674958373
6106882354213552300,116.0,65.15154118461366,-147.4588310336667,65.15065584571283,-147.4590732926087
6106882354213552324,20.0,65.1461877760439,-147.46024782693118,65.14530512460895,-147.46047400524034
6106882354213552420,126.0,65.12477651969802,-147.46595148364943,65.1238906859715,-147.46618095421036
6106882355287294240,116.0,65.12567785417484,-147.5352373733424,65.12478948929272,-147.53548571270667
6106882354213552272,116.0,65.15778959523891,-147.45716860620058,65.1569032536991,-147.45740994847492
6106882355287293964,116.0,65.18724316320366,-147.51903043999047,65.18635503960391,-147.51925732898138
6106882354213552240,126.0,65.16492510592782,-147.45525304793335,65.16403966338645,-147.45548951646094
6106882355287294168,111.0,65.14174013357878,-147.53100706778253,65.14084932561315,-147.53124507417056
6106882355287294148,111.0,65.14619479295995,-147.52981563454992,65.14530997064361,-147.5300516967011
6106882355287294196,115.0,65.13549076070731,-147.53266820821705,65.13460390567812,-147.5329006472358
6106882354213552396,20.0,65.13013064913194,-147.4645105510293,65.12924493549711,-147.464752462743
6106882354213552192,20.0,65.17562778814073,-147.45239019271594,65.17474261661083,-147.45261907490868
6106882355287294248,116.0,65.12389713535241,-147.53572959267714,65.12300724808696,-147.5359561567682
6106882355287294196,115.0,65.13549076070731,-147.53266820821705,65.13460390567812,-147.5329006472358
6106882354213552308,126.0,65.14975869088137,-147.45931067278923,65.14886921187544,-147.45952802733467
6106882354213552240,126.0,65.16492510592782,-147.45525304793335,65.16403966338645,-147.45548951646094
6106882354213552212,126.0,65.17117058206968,-147.45359102214405,65.17028255454544,-147.4538242329699
6106882354213552156,111.0,65.18366089037843,-147.45025890245213,65.18277198920781,-147.45050093419982
6106882354213552421,126.0,65.12468499098937,-147.4677811549536,65.12379653585566,-147.46802286181102
6106882354213552424,116.0,65.12388430177897,-147.46618245967719,65.12300039033964,-147.4664142074996
6106882355287294188,111.0,65.13727805019,-147.53218427140965,65.13639257162153,-147.5324231404294
6106882354213552249,126.0,65.16304685992867,-147.4575568457059,65.1621609335238,-147.45780595559475
6106882355287294064,116.0,65.16493572529487,-147.52488630894211,65.16404868546118,-147.52511836526847
6106882355287293992,116.0,65.18099725280395,-147.52065338176746,65.18010975950776,-147.52087717728375
6106882355287294028,111.0,65.17296332024574,-147.52276353763253,65.17207753171726,-147.52300399040928
6106882354213552136,115.0,65.18812026873945,-147.44909880316752,65.18723329163157,-147.44932744588996
6106882354213552212,126.0,65.17117058206968,-147.45359102214405,65.17028255454544,-147.4538242329699
6106882355287294020,111.0,65.17474961547954,-147.52229626963836,65.17386008017579,-147.52252567778098
6106882354213552128,116.0,65.18990210720865,-147.4486340825242,65.18901949631356,-147.4488607731079
6106882355287294044,111.0,65.16939732023307,-147.52370728470544,65.16850878971397,-147.52394159956
6106882355287294248,116.0,65.12389713535241,-147.53572959267714,65.12300724808696,-147.5359561567682
6106882355287294032,111.0,65.17206491885379,-147.52300731933994,65.17118592152343,-147.52324226408243
6106882354213552373,111.0,65.13538944953908,-147.46492697088817,65.13450956544278,-147.46515892348606
6106882355287294116,111.0,65.15333308758107,-147.52793669654517,65.15245136928569,-147.5281616160926
6106882355287293988,116.0,65.18188989639539,-147.5204287734441,65.18100360427756,-147.5206519279564
6106882354213552320,20.0,65.14707811726294,-147.46000624289886,65.14619411501056,-147.46024651300473
6106882355287294177,111.0,65.13986161626214,-147.53355152208263,65.13899022602413,-147.53378596546534
6106882355287294029,111.0,65.17287653494394,-147.5248089301572,65.17199081569542,-147.52504359857096
