date,segment_count,unclassified_photon_count,ground_photon_count,canopy_photon_count,top_of_canopy_photon_count,noise_photon_count
2022-03-02,404,1881,43806,14112,6858,35
2022-03-07,3008,303256,558892,601104,138726,0.0
2022-09-05,2685,31631,72517,149210,35456,4168
2022-11-29,3010,225407,470557,437369,92773,374
2022-12-04,231,2729,9138,17043,4450,35
