date,segment_count,unclassified_photon_count,ground_photon_count,canopy_photon_count,top_of_canopy_photon_count,noise_photon_count,total_photon_count,other_photons
2023-01-20,726,0.0,24187,4504,3423,0.0,32114,0
2023-01-31,631,0.0,24178,1889,1028,0.0,27095,0
2023-02-18,803,0.0,61130,12776,7773,0.0,81679,0
2023-03-05,97,0.0,3147,126,4,0.0,3277,0
2023-03-19,1603,0.0,117430,14463,11172,0.0,143065,0
2023-04-17,104,0.0,1495,231,244,0.0,1970,0
2023-04-21,804,0.0,55083,8215,6476,0.0,69774,0
2023-05-06,432,0.0,31352,4480,1124,0.0,36956,0
2023-08-05,678,0.0,9698,1317,843,0.0,11858,0
2023-09-16,16,0.0,400,0.0,0.0,0.0,400,0
2023-10-15,55,0.0,1982,699,388,0.0,3069,0
2023-11-13,51,0.0,952,27,8,0.0,987,0
