date,segment_count,unclassified_photon_count,ground_photon_count,canopy_photon_count,top_of_canopy_photon_count,noise_photon_count,total_photon_count,other_photons
2022-02-20,868,0.0,71377,3917,2893,0.0,78187,0
2022-03-07,3386,0.0,298678,32089,15432,0.0,346199,0
2022-03-21,4903,0.0,424948,34581,12287,0.0,471816,0
2022-04-19,1070,0.0,88583,10449,1545,0.0,100577,0
2022-05-21,145,0.0,5306,4,0.0,0.0,5310,0
2022-06-06,4385,0.0,87636,21848,13507,0.0,122991,0
2022-06-19,189,0.0,3091,123,2,0.0,3216,0
2022-08-07,272,0.0,4557,584,405,0.0,5546,0
2022-08-20,767,0.0,20426,1193,407,0.0,22026,0
2022-09-05,997,0.0,15976,3705,2475,0.0,22156,0
2022-09-18,2373,0.0,55058,5318,1854,0.0,62230,0
2022-10-08,13,0.0,121,7,10,0.0,138,0
2022-10-17,795,0.0,24535,2448,1599,0.0,28582,0
2022-11-06,6029,1,496383,88812,39778,0.0,624974,1
2022-11-19,26,0.0,270,43,27,0.0,340,0
2022-12-05,2011,0.0,150860,26421,18250,0.0,195531,0
2022-12-18,6025,0.0,542061,75340,48234,0.0,665635,0
