date,segment_count,unclassified_photon_count,ground_photon_count,canopy_photon_count,top_of_canopy_photon_count,noise_photon_count,total_photon_count,other_photons
2021-02-08,6030,0.0,547775,65556,23226,0.0,636557,0
2021-02-21,751,0.0,64359,1868,409,0.0,66636,0
2021-03-09,188,0.0,5062,984,1041,0.0,7087,0
2021-03-22,4491,0.0,409068,29462,7331,0.0,445861,0
2021-06-21,95,0.0,4772,5,1,0.0,4778,0
2021-07-20,1118,0.0,25598,5092,2969,0.0,33659,0
2021-09-06,21,0.0,368,31,5,0.0,404,0
2021-10-19,5999,0.0,424152,43686,19044,0.0,486882,0
2021-11-07,8,0.0,290,0.0,0.0,0.0,290,0
