date,segment_count,unclassified_photon_count,ground_photon_count,canopy_photon_count,top_of_canopy_photon_count,noise_photon_count,total_photon_count,other_photons
2020-01-13,2010,1,218725,15180,5210,0.0,239116,1
2020-01-22,1506,0.0,25171,2442,1677,0.0,29290,0
2020-02-11,16,0.0,296,113,52,0.0,461,0
2020-02-24,872,0.0,86431,4984,3584,0.0,94999,0
2020-03-11,753,0.0,81136,4076,445,0.0,85657,0
2020-04-22,35,0.0,1010,162,131,0.0,1303,0
2020-05-11,3031,0.0,183841,3122,169,0.0,187132,0
2020-07-12,52,0.0,1584,0.0,0.0,0.0,1584,0
2020-08-10,107,0.0,6620,0.0,0.0,0.0,6620,0
2020-09-22,3324,0.0,79732,14467,8114,0.0,102313,0
2020-11-09,6,0.0,50,0.0,0.0,0.0,50,0
2020-11-23,875,0.0,103835,7233,6471,0.0,117539,0
2020-12-08,2622,0.0,121631,6457,6147,0.0,134235,0
