date,segment_count,unclassified_photon_count,ground_photon_count,canopy_photon_count,top_of_canopy_photon_count,noise_photon_count
2023-01-20,2773,122116,400840,176337,37044,5482
2023-01-31,1515,40094,132187,133339,31405,4825
2023-02-18,2467,222936,505556,335460,81295,3108
2023-03-05,609,38430,105156,86127,12106,57
2023-03-19,3018,333040,870316,447445,96526,0.0
2023-04-17,781,5498,18176,17507,6509,3786
2023-04-21,3018,294270,875497,353428,58462,0.0
2023-05-06,1865,191500,516994,128034,17056,0.0
2023-08-05,2177,7782,70374,53639,13610,226
2023-09-16,337,2578,29818,3715,693,65
2023-10-15,1299,54163,240649,111391,17946,806
2023-11-13,310,1628,16199,16974,5853,33
