date,segment_count,unclassified_photon_count,ground_photon_count,canopy_photon_count,top_of_canopy_photon_count,noise_photon_count
2023-02-12,327,8650.0,12456.0,16480.0,2386.0,229814
2023-02-19,5,0.0,0.0,0.0,0.0,449
2023-05-14,162,1032.0,1042.0,8131.0,1197.0,78581
2023-05-21,369,2509.0,5668.0,23331.0,4166.0,11977
2023-08-13,323,3325.0,9063.0,24941.0,4014.0,988
2023-08-19,159,782.0,224.0,1261.0,223.0,242878
2023-09-17,14,0.0,0.0,0.0,0.0,24126
2023-11-12,17,0.0,0.0,0.0,0.0,221
2023-11-18,20,0.0,0.0,0.0,0.0,60552
