date,segment_count,unclassified_photon_count,ground_photon_count,canopy_photon_count,top_of_canopy_photon_count,noise_photon_count
2019-01-24,63,5378.0,16170.0,8610.0,859.0,0.0
2019-02-12,20,70.0,422.0,511.0,52.0,207.0
2019-02-26,540,23517.0,101277.0,28510.0,4467.0,0.0
2019-03-13,339,1583.0,15494.0,15894.0,5132.0,0.0
2019-04-25,410,33718.0,118904.0,51877.0,3983.0,0.0
2019-05-14,6,0.0,0.0,0.0,0.0,186.0
2019-05-28,128,1306.0,11037.0,5020.0,857.0,0.0
2019-06-12,536,5941.0,34774.0,31769.0,10786.0,6.0
2019-06-26,18,198.0,1552.0,291.0,0.0,0.0
2019-07-15,518,1291.0,12130.0,10627.0,3631.0,9717.0
2019-08-26,48,197.0,3299.0,1239.0,126.0,23.0
2019-09-11,1023,3801.0,31662.0,18920.0,5896.0,257.0
2019-09-24,205,1222.0,12202.0,747.0,21.0,0.0
2019-11-12,652,27741.0,117930.0,35664.0,5927.0,1826.0
2019-12-11,195,1092.0,4421.0,3421.0,1241.0,776.0
2019-12-24,1207,107771.0,370366.0,139675.0,20420.0,0.0
