date,segment_count,unclassified_photon_count,ground_photon_count,canopy_photon_count,top_of_canopy_photon_count,noise_photon_count
2022-02-20,175,16083.0,54659.0,19766.0,3779.0,0.0
2022-03-07,680,92240.0,191936.0,126417.0,27904.0,0.0
2022-03-21,1074,96086.0,313717.0,140711.0,19670.0,0.0
2022-04-19,231,29865.0,74861.0,23687.0,2313.0,0.0
2022-05-08,10,0.0,0.0,0.0,0.0,134.0
2022-05-21,51,887.0,5334.0,313.0,11.0,0.0
2022-06-06,1206,9707.0,54926.0,58017.0,20516.0,0.0
2022-06-19,74,407.0,2271.0,1490.0,136.0,14.0
2022-08-07,166,814.0,2894.0,2805.0,915.0,1769.0
2022-08-20,246,1164.0,15309.0,7730.0,863.0,188.0
2022-09-05,401,2196.0,8633.0,12692.0,4943.0,447.0
2022-09-18,642,2569.0,33687.0,28224.0,4026.0,41.0
2022-10-08,35,99.0,260.0,270.0,96.0,151.0
2022-10-17,297,4436.0,17155.0,11083.0,1904.0,1594.0
2022-11-06,1207,141252.0,333157.0,242092.0,49724.0,0.0
2022-11-19,39,96.0,94.0,248.0,104.0,559.0
2022-12-05,403,50023.0,90264.0,80006.0,25261.0,0.0
2022-12-18,1208,174256.0,344813.0,254300.0,66536.0,0.0
