date,segment_count,unclassified_photon_count,ground_photon_count,canopy_photon_count,top_of_canopy_photon_count,noise_photon_count
2021-02-08,1208,145617.0,398675.0,202855.0,35037.0,88.0
2021-02-21,170,10833.0,51888.0,14054.0,877.0,0.0
2021-03-09,39,806.0,2042.0,3017.0,2059.0,0.0
2021-03-22,989,81888.0,329709.0,106990.0,10482.0,0.0
2021-05-10,1,0.0,0.0,0.0,0.0,63.0
2021-05-23,5,0.0,0.0,0.0,0.0,221.0
2021-06-21,64,54.0,4890.0,489.0,33.0,200.0
2021-07-20,309,1749.0,11855.0,17307.0,5950.0,0.0
2021-09-06,15,21.0,103.0,332.0,31.0,253.0
2021-10-19,1203,112708.0,306497.0,157061.0,23385.0,0.0
2021-11-07,15,2.0,338.0,103.0,12.0,19.0
